label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu1,256,4096,4096,bf16,234.65,199.35,210.46,0.0366,0.0450,0.0408,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,2304,4096,4096,bf16,1159.27,1076.82,1084.63,0.0667,0.0720,0.0713,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,4352,4096,4096,bf16,1005.38,978.01,981.90,0.1452,0.1494,0.1487,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,6400,4096,4096,bf16,1112.36,1082.80,1079.62,0.1931,0.1984,0.1989,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,8448,4096,4096,bf16,1440.15,1371.85,1380.02,0.1968,0.2069,0.2054,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,10496,4096,4096,bf16,1447.38,1403.24,1411.46,0.2433,0.2512,0.2495,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,12544,4096,4096,bf16,1344.51,1325.86,1329.29,0.3131,0.3175,0.3166,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,14592,4096,4096,bf16,1467.56,1443.92,1446.95,0.3336,0.3391,0.3384,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,16640,4096,4096,bf16,1493.35,1477.16,1480.68,0.3739,0.3780,0.3771,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,18688,4096,4096,bf16,1580.56,1553.22,1555.41,0.3967,0.4038,0.4032,NVIDIA GB200,2062,3996,1950,3996
