label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,256,4096,4096,bf16,227.30,197.71,207.05,0.0378,0.0449,0.0415,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,2304,4096,4096,bf16,1137.97,1061.29,1070.41,0.0679,0.0731,0.0722,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,4352,4096,4096,bf16,1074.50,1020.13,1016.01,0.1359,0.1433,0.1437,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,6400,4096,4096,bf16,1276.56,1212.96,1221.61,0.1682,0.1773,0.1758,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,8448,4096,4096,bf16,1216.81,1197.11,1197.24,0.2330,0.2368,0.2368,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,10496,4096,4096,bf16,1277.37,1263.22,1266.13,0.2757,0.2788,0.2782,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,12544,4096,4096,bf16,1453.73,1415.65,1424.69,0.2895,0.2976,0.2954,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,14592,4096,4096,bf16,1369.20,1344.61,1342.35,0.3576,0.3642,0.3648,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,16640,4096,4096,bf16,1473.43,1453.98,1455.18,0.3789,0.3840,0.3837,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,18688,4096,4096,bf16,1547.73,1524.71,1531.28,0.4052,0.4113,0.4095,NVIDIA GB200,2062,3996,1950,3996
