model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,completed,failed
openai-community/gpt2,1,128,64,1,10,1.653,105.785,317.354,42.973,29.277,123.940,8.917,7.996,14.726,16.867,43.000,164453.067,166696.000,10,0
openai-community/gpt2,1,128,64,2,20,4.164,266.464,799.393,30.198,29.586,49.053,7.140,7.375,8.191,10.846,42.000,163724.769,164540.000,20,0
