test,sum_gbps
host_to_device_memcpy_ce,842.98
device_to_host_memcpy_ce,772.08
device_to_device_memcpy_read_ce,8659.22
device_to_device_memcpy_write_ce,8998.37
device_to_device_bidirectional_memcpy_read_ce_read1,8616.88
device_to_device_bidirectional_memcpy_read_ce_read2,8619.7
device_to_device_bidirectional_memcpy_read_ce_total,17236.58
device_to_device_bidirectional_memcpy_write_ce_write1,8939.06
device_to_device_bidirectional_memcpy_write_ce_write2,8927.2
device_to_device_bidirectional_memcpy_write_ce_total,17866.26
all_to_host_memcpy_ce,733.88
host_to_all_memcpy_ce,702.34
