label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu3,256,4096,4096,bf16,273.36,235.00,242.71,0.0314,0.0376,0.0354,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,2304,4096,4096,bf16,1003.29,953.71,957.94,0.0771,0.0811,0.0807,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,4352,4096,4096,bf16,1153.54,1111.79,1113.70,0.1266,0.1314,0.1311,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,6400,4096,4096,bf16,1373.77,1322.84,1338.43,0.1563,0.1626,0.1604,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,8448,4096,4096,bf16,1426.47,1365.82,1370.42,0.1987,0.2078,0.2068,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,10496,4096,4096,bf16,1544.03,1474.52,1482.07,0.2281,0.2390,0.2376,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,12544,4096,4096,bf16,1600.75,1548.42,1551.38,0.2629,0.2720,0.2713,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,14592,4096,4096,bf16,1670.94,1621.70,1629.83,0.2930,0.3021,0.3004,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,16640,4096,4096,bf16,1683.06,1646.96,1657.64,0.3317,0.3392,0.3368,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,18688,4096,4096,bf16,1720.29,1669.77,1668.65,0.3645,0.3757,0.3758,NVIDIA GB200,2062,3996,1950,3996
