test,sum_gbps
host_to_device_memcpy_ce,842.92
device_to_host_memcpy_ce,772.09
device_to_device_memcpy_read_ce,8657.83
device_to_device_memcpy_write_ce,8998.89
device_to_device_bidirectional_memcpy_read_ce_read1,8615.66
device_to_device_bidirectional_memcpy_read_ce_read2,8612.27
device_to_device_bidirectional_memcpy_read_ce_total,17227.93
device_to_device_bidirectional_memcpy_write_ce_write1,8938.8
device_to_device_bidirectional_memcpy_write_ce_write2,8922.81
device_to_device_bidirectional_memcpy_write_ce_total,17861.62
all_to_host_memcpy_ce,734.95
host_to_all_memcpy_ce,704.27
