label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,16384,16384,16384,bf16,50,5.7076234999112785,5.790342984255403,5.854983988683671,1541.113043343649,1519.097063183575,1502.3257175781885,0,2062,3996,1950,3996
node1_gpu1,16384,16384,16384,bf16,50,5.9039595210924745,6.051881005987525,6.246987031772733,1489.863368944705,1453.4477815253547,1408.0536709089176,1,2062,3996,1950,3996
node1_gpu2,16384,16384,16384,bf16,50,5.628661682130769,5.761991022154689,6.2005220097489655,1562.7325852844967,1526.5718027652727,1418.605241361625,2,2062,3996,1950,3996
node1_gpu3,16384,16384,16384,bf16,50,5.691432015737519,5.659365968313068,6.062088999897242,1545.49733667831,1554.2541463933494,1451.0003106779038,3,2062,3996,1950,3996
