label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,256,4096,4096,bf16,274.19,237.50,248.32,0.0313,0.0372,0.0346,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,2304,4096,4096,bf16,936.04,892.83,897.61,0.0826,0.0867,0.0861,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,4352,4096,4096,bf16,1104.41,1073.06,1075.14,0.1322,0.1361,0.1358,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,6400,4096,4096,bf16,1194.32,1163.34,1170.16,0.1798,0.1847,0.1835,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,8448,4096,4096,bf16,1377.45,1352.28,1352.11,0.2058,0.2097,0.2096,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,10496,4096,4096,bf16,1422.68,1385.57,1387.35,0.2476,0.2542,0.2539,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,12544,4096,4096,bf16,1457.27,1433.29,1431.19,0.2888,0.2937,0.2941,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,14592,4096,4096,bf16,1526.88,1501.20,1504.00,0.3207,0.3262,0.3256,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,16640,4096,4096,bf16,1541.23,1520.99,1520.28,0.3623,0.3671,0.3673,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,18688,4096,4096,bf16,1581.58,1554.55,1558.00,0.3965,0.4034,0.4025,NVIDIA GB200,2062,3996,1950,3996
