label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu2,256,4096,4096,bf16,244.03,218.02,229.16,0.0352,0.0408,0.0375,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,2304,4096,4096,bf16,1223.25,1119.51,1155.67,0.0632,0.0722,0.0669,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,4352,4096,4096,bf16,1087.82,1048.57,1053.66,0.1342,0.1394,0.1386,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,6400,4096,4096,bf16,1430.59,1400.02,1409.41,0.1501,0.1535,0.1524,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,8448,4096,4096,bf16,1457.45,1415.77,1422.69,0.1945,0.2003,0.1992,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,10496,4096,4096,bf16,1625.92,1564.15,1566.68,0.2166,0.2253,0.2248,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,12544,4096,4096,bf16,1535.35,1487.53,1495.04,0.2741,0.2832,0.2815,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,14592,4096,4096,bf16,1706.54,1680.98,1684.46,0.2869,0.2913,0.2907,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,16640,4096,4096,bf16,1709.95,1674.23,1676.76,0.3265,0.3336,0.3330,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,18688,4096,4096,bf16,1614.82,1592.37,1599.40,0.3883,0.3939,0.3921,NVIDIA GB200,2062,3996,1950,3996
