label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu1,256,4096,4096,bf16,239.25,212.15,220.03,0.0359,0.0415,0.0390,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,2304,4096,4096,bf16,1129.99,1083.30,1096.90,0.0684,0.0715,0.0705,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,4352,4096,4096,bf16,1086.78,1055.78,1064.61,0.1344,0.1384,0.1372,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,6400,4096,4096,bf16,1195.60,1165.95,1167.72,0.1796,0.1842,0.1839,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,8448,4096,4096,bf16,1522.58,1485.07,1490.94,0.1862,0.1910,0.1901,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,10496,4096,4096,bf16,1412.27,1387.61,1394.21,0.2494,0.2539,0.2526,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,12544,4096,4096,bf16,1448.13,1430.47,1431.42,0.2907,0.2943,0.2940,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,14592,4096,4096,bf16,1607.23,1580.52,1588.55,0.3046,0.3099,0.3082,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,16640,4096,4096,bf16,1530.02,1511.73,1517.51,0.3649,0.3694,0.3679,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,18688,4096,4096,bf16,1674.57,1652.54,1652.89,0.3745,0.3795,0.3794,NVIDIA GB200,2062,3996,1950,3996
