label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,16384,16384,16384,bf16,50,5.544962560525164,5.659946997184306,5.8865369646809995,1586.3214451307172,1554.0945925083493,1494.2729613326524,0,2062,3996,1950,3996
node2_gpu1,16384,16384,16384,bf16,50,5.634543978376314,5.760842002928257,6.109000998549163,1561.1011389679024,1526.8762826227335,1439.8578465279345,1,2062,3996,1950,3996
node2_gpu2,16384,16384,16384,bf16,50,5.7466168608516455,5.844362021889538,6.003561022225767,1530.65590332473,1505.0561531375054,1465.145934162076,2,2062,3996,1950,3996
node2_gpu3,16384,16384,16384,bf16,50,5.622175404569134,5.73780300328508,5.8390829944983125,1564.535502584894,1533.0071487591938,1506.4168518405775,3,2062,3996,1950,3996
