label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu3,256,4096,4096,bf16,280.79,249.95,257.37,0.0306,0.0350,0.0334,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,2304,4096,4096,bf16,941.51,908.61,916.34,0.0821,0.0852,0.0844,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,4352,4096,4096,bf16,1132.92,1104.25,1108.29,0.1289,0.1323,0.1318,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,6400,4096,4096,bf16,1223.05,1194.52,1195.92,0.1756,0.1798,0.1796,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,8448,4096,4096,bf16,1397.88,1370.22,1369.67,0.2028,0.2069,0.2070,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,10496,4096,4096,bf16,1441.69,1417.86,1421.67,0.2443,0.2484,0.2477,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,12544,4096,4096,bf16,1482.07,1465.14,1464.90,0.2840,0.2873,0.2873,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,14592,4096,4096,bf16,1571.57,1545.03,1548.98,0.3116,0.3169,0.3161,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,16640,4096,4096,bf16,1577.32,1553.35,1556.36,0.3540,0.3595,0.3588,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,18688,4096,4096,bf16,1704.13,1679.34,1689.67,0.3680,0.3735,0.3711,NVIDIA GB200,2062,3996,1950,3996
