model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,completed,failed
openai/gpt-oss-120b,4,1024,1024,32,320,6.632,6791.359,13582.717,240.502,236.599,424.234,4.479,4.470,4.665,77.246,99.250,174960.377,175092.000,320,0
openai/gpt-oss-120b,4,1024,1024,64,640,12.432,12730.224,25460.447,183.656,168.376,427.985,4.842,4.716,5.931,76.681,99.750,174959.944,175090.000,640,0
openai/gpt-oss-120b,4,1024,1024,128,1280,17.592,18014.404,36028.807,232.622,222.845,431.286,6.861,6.897,8.146,79.424,100.000,174960.968,175092.000,1280,0
openai/gpt-oss-120b,4,1024,1024,256,2560,23.885,24458.455,48916.910,862.171,755.126,2009.942,9.501,9.347,11.415,78.388,100.000,174960.610,175092.000,2560,0
openai/gpt-oss-120b,4,1024,1024,512,5120,24.573,25162.654,50325.308,5655.746,5993.414,12566.098,14.627,14.637,23.106,76.849,100.000,174960.500,175091.000,5120,0
