label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,16384,16384,16384,bf16,50,5.609231299022213,5.772701988462359,6.067875016015023,1568.1458926005268,1523.739323420533,1449.6167107912333,0,2062,3996,1950,3996
node1_gpu1,16384,16384,16384,bf16,50,5.897768717259169,6.022241956088692,6.102148036006838,1491.427257306175,1460.601066238272,1441.4748659496702,1,2062,3996,1950,3996
node1_gpu2,16384,16384,16384,bf16,50,5.560583403566852,5.662971001584083,5.951456027105451,1581.8651360513218,1553.2647120650097,1477.973286225567,2,2062,3996,1950,3996
node1_gpu3,16384,16384,16384,bf16,50,5.568483218085021,5.6722190347500145,5.889471038244665,1579.6209987022178,1550.7322563391913,1493.5285299967522,3,2062,3996,1950,3996
