model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,gpu_power_mean_w,gpu_power_p95_w,completed,failed
openai/gpt-oss-120b,1,1024,1024,32,320,0.511000,523.575000,1047.151000,248.964000,212.564000,639.874000,60.923000,60.912000,62.117000,21.132000,22.000000,148969.929000,148970.000000,217.556000,226.040000,320.000000,0.000000
openai/gpt-oss-120b,1,1024,1024,64,640,1.032000,1056.610000,2113.220000,298.283000,288.098000,563.163000,60.310000,59.969000,62.681000,26.497000,28.000000,148970.000000,148970.000000,242.892000,255.390000,640.000000,0.000000
openai/gpt-oss-120b,1,1024,1024,128,1280,1.952000,1998.624000,3997.247000,382.302000,302.912000,1724.212000,63.691000,63.986000,65.807000,34.031000,35.000000,148971.554000,148972.000000,278.577000,292.560000,1280.000000,0.000000
openai/gpt-oss-120b,1,1024,1024,256,2560,3.710000,3798.897000,7597.795000,528.385000,409.657000,3216.429000,66.846000,66.870000,68.286000,46.631000,74.000000,148972.018000,148976.000000,328.086000,427.130000,2560.000000,0.000000
openai/gpt-oss-120b,1,1024,1024,512,5120,6.838000,7001.930000,14003.861000,815.288000,455.937000,6826.640000,72.173000,72.474000,75.525000,66.519000,100.000000,148976.000000,148976.000000,397.390000,615.030000,5120.000000,0.000000
