timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/08 08:19:31.088, 0, 0, 0, 148974, 183359, 163.91
2026/03/08 08:19:31.116, 0, 0, 0, 148974, 183359, 163.91
2026/03/08 08:19:32.144, 0, 0, 0, 148974, 183359, 157.48
2026/03/08 08:19:33.177, 0, 0, 0, 148974, 183359, 157.59
2026/03/08 08:19:34.208, 0, 0, 0, 148974, 183359, 157.29
2026/03/08 08:19:35.240, 0, 0, 0, 148974, 183359, 159.66
2026/03/08 08:19:36.269, 0, 0, 0, 148974, 183359, 157.34
2026/03/08 08:19:37.300, 0, 0, 0, 148974, 183359, 157.15
2026/03/08 08:19:38.332, 0, 0, 0, 148974, 183359, 157.13
2026/03/08 08:19:39.363, 0, 0, 0, 148974, 183359, 157.03
2026/03/08 08:19:40.391, 0, 0, 0, 148974, 183359, 157.26
2026/03/08 08:19:41.421, 0, 14, 3, 148974, 183359, 164.92
2026/03/08 08:19:42.452, 0, 17, 5, 148974, 183359, 185.65
2026/03/08 08:19:43.483, 0, 18, 6, 148974, 183359, 195.99
2026/03/08 08:19:44.515, 0, 21, 7, 148974, 183359, 204.08
2026/03/08 08:19:45.543, 0, 23, 8, 148974, 183359, 219.35
2026/03/08 08:19:46.575, 0, 23, 9, 148974, 183359, 222.95
2026/03/08 08:19:47.604, 0, 26, 10, 148974, 183359, 239.44
2026/03/08 08:19:48.635, 0, 30, 12, 148974, 183359, 237.51
2026/03/08 08:19:49.663, 0, 29, 12, 148974, 183359, 252.09
2026/03/08 08:19:50.694, 0, 32, 12, 148974, 183359, 227.26
2026/03/08 08:19:51.723, 0, 31, 13, 148974, 183359, 256.34
2026/03/08 08:19:52.758, 0, 32, 14, 148974, 183359, 262.48
2026/03/08 08:19:53.787, 0, 32, 14, 148974, 183359, 266.89
2026/03/08 08:19:54.817, 0, 33, 14, 148974, 183359, 269.40
2026/03/08 08:19:55.846, 0, 34, 15, 148974, 183359, 274.82
2026/03/08 08:19:56.876, 0, 37, 16, 148974, 183359, 272.90
2026/03/08 08:19:57.906, 0, 37, 16, 148974, 183359, 279.85
2026/03/08 08:19:58.936, 0, 38, 17, 148974, 183359, 288.00
2026/03/08 08:19:59.964, 0, 40, 17, 148974, 183359, 285.12
2026/03/08 08:20:00.995, 0, 39, 16, 148974, 183359, 291.20
2026/03/08 08:20:02.026, 0, 39, 17, 148974, 183359, 295.11
2026/03/08 08:20:03.056, 0, 40, 17, 148974, 183359, 298.67
2026/03/08 08:20:04.088, 0, 41, 18, 148974, 183359, 300.45
2026/03/08 08:20:05.118, 0, 43, 17, 148974, 183359, 307.64
2026/03/08 08:20:06.150, 0, 45, 19, 148974, 183359, 308.47
2026/03/08 08:20:07.181, 0, 44, 18, 148974, 183359, 311.35
2026/03/08 08:20:08.213, 0, 46, 19, 148974, 183359, 311.61
2026/03/08 08:20:09.245, 0, 45, 18, 148974, 183359, 316.13
2026/03/08 08:20:10.276, 0, 49, 19, 148974, 183359, 321.07
2026/03/08 08:20:11.307, 0, 48, 20, 148974, 183359, 332.17
2026/03/08 08:20:12.340, 0, 46, 19, 148974, 183359, 328.52
2026/03/08 08:20:13.370, 0, 47, 20, 148974, 183359, 328.17
2026/03/08 08:20:14.402, 0, 47, 20, 148974, 183359, 329.47
2026/03/08 08:20:15.434, 0, 48, 20, 148974, 183359, 330.27
2026/03/08 08:20:16.463, 0, 49, 20, 148974, 183359, 330.65
2026/03/08 08:20:17.494, 0, 50, 21, 148974, 183359, 327.37
2026/03/08 08:20:18.522, 0, 48, 20, 148974, 183359, 331.23
2026/03/08 08:20:19.559, 0, 50, 21, 148974, 183359, 332.51
2026/03/08 08:20:20.588, 0, 48, 20, 148974, 183359, 329.71
2026/03/08 08:20:21.619, 0, 49, 20, 148974, 183359, 296.28
2026/03/08 08:20:22.648, 0, 48, 20, 148974, 183359, 326.61
2026/03/08 08:20:23.680, 0, 49, 20, 148974, 183359, 331.54
2026/03/08 08:20:24.710, 0, 49, 20, 148974, 183359, 327.96
2026/03/08 08:20:25.741, 0, 50, 21, 148974, 183359, 332.34
2026/03/08 08:20:26.770, 0, 48, 20, 148974, 183359, 329.05
2026/03/08 08:20:27.802, 0, 49, 20, 148974, 183359, 332.85
2026/03/08 08:20:28.833, 0, 50, 21, 148974, 183359, 331.76
2026/03/08 08:20:29.864, 0, 49, 20, 148974, 183359, 334.93
2026/03/08 08:20:30.896, 0, 49, 21, 148974, 183359, 329.29
2026/03/08 08:20:31.925, 0, 49, 20, 148974, 183359, 329.55
2026/03/08 08:20:32.956, 0, 48, 20, 148974, 183359, 329.10
2026/03/08 08:20:33.985, 0, 49, 20, 148974, 183359, 330.60
2026/03/08 08:20:35.017, 0, 47, 20, 148974, 183359, 335.35
2026/03/08 08:20:36.046, 0, 48, 20, 148974, 183359, 327.23
2026/03/08 08:20:37.075, 0, 49, 20, 148974, 183359, 297.14
2026/03/08 08:20:38.105, 0, 47, 19, 148974, 183359, 330.71
2026/03/08 08:20:39.136, 0, 51, 21, 148974, 183359, 331.60
2026/03/08 08:20:40.166, 0, 49, 21, 148974, 183359, 331.65
2026/03/08 08:20:41.199, 0, 48, 20, 148974, 183359, 328.97
2026/03/08 08:20:42.229, 0, 49, 20, 148974, 183359, 332.34
2026/03/08 08:20:43.259, 0, 48, 20, 148974, 183359, 332.46
2026/03/08 08:20:44.287, 0, 48, 20, 148974, 183359, 331.26
2026/03/08 08:20:45.318, 0, 49, 19, 148974, 183359, 320.06
2026/03/08 08:20:46.350, 0, 49, 20, 148974, 183359, 334.95
2026/03/08 08:20:47.383, 0, 47, 19, 148974, 183359, 322.77
2026/03/08 08:20:48.414, 0, 47, 19, 148974, 183359, 329.55
2026/03/08 08:20:49.443, 0, 48, 19, 148974, 183359, 320.84
2026/03/08 08:20:50.472, 0, 50, 21, 148974, 183359, 327.98
2026/03/08 08:20:51.501, 0, 48, 20, 148974, 183359, 332.16
2026/03/08 08:20:52.533, 0, 45, 19, 148974, 183359, 325.95
2026/03/08 08:20:53.565, 0, 46, 19, 148974, 183359, 323.39
2026/03/08 08:20:54.597, 0, 46, 20, 148974, 183359, 320.05
2026/03/08 08:20:55.628, 0, 43, 18, 148974, 183359, 317.73
2026/03/08 08:20:56.659, 0, 43, 19, 148974, 183359, 314.89
2026/03/08 08:20:57.689, 0, 42, 19, 148974, 183359, 309.85
2026/03/08 08:20:58.720, 0, 41, 18, 148974, 183359, 308.78
2026/03/08 08:20:59.748, 0, 41, 18, 148974, 183359, 306.45
2026/03/08 08:21:00.778, 0, 41, 18, 148974, 183359, 301.59
2026/03/08 08:21:01.806, 0, 39, 17, 148974, 183359, 295.85
2026/03/08 08:21:02.836, 0, 38, 17, 148974, 183359, 299.21
2026/03/08 08:21:03.864, 0, 38, 17, 148974, 183359, 297.86
2026/03/08 08:21:04.894, 0, 38, 17, 148974, 183359, 295.30
2026/03/08 08:21:05.923, 0, 37, 16, 148974, 183359, 290.27
2026/03/08 08:21:06.957, 0, 35, 16, 148974, 183359, 274.74
2026/03/08 08:21:07.988, 0, 33, 15, 148974, 183359, 277.04
2026/03/08 08:21:09.018, 0, 32, 15, 148974, 183359, 272.92
2026/03/08 08:21:10.047, 0, 33, 15, 148974, 183359, 261.33
2026/03/08 08:21:11.078, 0, 30, 13, 148974, 183359, 259.54
2026/03/08 08:21:12.105, 0, 29, 13, 148974, 183359, 254.53
2026/03/08 08:21:13.135, 0, 26, 11, 148974, 183359, 245.23
2026/03/08 08:21:14.164, 0, 25, 11, 148974, 183359, 234.90
2026/03/08 08:21:15.194, 0, 25, 10, 148974, 183359, 232.46
2026/03/08 08:21:16.223, 0, 24, 10, 148974, 183359, 236.29
2026/03/08 08:21:17.251, 0, 24, 10, 148974, 183359, 229.62
2026/03/08 08:21:18.282, 0, 25, 11, 148974, 183359, 230.43
2026/03/08 08:21:19.310, 0, 24, 10, 148974, 183359, 236.08
2026/03/08 08:21:20.340, 0, 24, 10, 148974, 183359, 231.15
2026/03/08 08:21:21.368, 0, 24, 10, 148974, 183359, 227.70
2026/03/08 08:21:22.401, 0, 24, 10, 148974, 183359, 227.79
2026/03/08 08:21:23.430, 0, 24, 10, 148974, 183359, 228.42
2026/03/08 08:21:24.460, 0, 25, 11, 148974, 183359, 227.02
2026/03/08 08:21:25.487, 0, 24, 10, 148974, 183359, 234.17
2026/03/08 08:21:26.516, 0, 24, 10, 148974, 183359, 226.23
2026/03/08 08:21:27.545, 0, 24, 10, 148974, 183359, 225.32
2026/03/08 08:21:28.573, 0, 23, 10, 148974, 183359, 227.80
2026/03/08 08:21:29.600, 0, 24, 10, 148974, 183359, 232.81
2026/03/08 08:21:30.630, 0, 24, 10, 148974, 183359, 231.01
2026/03/08 08:21:31.658, 0, 24, 10, 148974, 183359, 230.22
2026/03/08 08:21:32.687, 0, 23, 10, 148974, 183359, 234.32
2026/03/08 08:21:33.715, 0, 24, 10, 148974, 183359, 229.15
2026/03/08 08:21:34.745, 0, 24, 10, 148974, 183359, 236.56
2026/03/08 08:21:35.772, 0, 24, 10, 148974, 183359, 228.06
2026/03/08 08:21:36.801, 0, 24, 10, 148974, 183359, 231.25
2026/03/08 08:21:37.830, 0, 14, 6, 148974, 183359, 224.95
2026/03/08 08:21:38.857, 0, 24, 10, 148974, 183359, 218.33
2026/03/08 08:21:39.888, 0, 25, 10, 148974, 183359, 233.50
2026/03/08 08:21:40.915, 0, 25, 10, 148974, 183359, 223.78
