model,tp,isl,osl,request_rate,max_concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,gpu_power_mean_w,gpu_power_p95_w,completed,failed
openai/gpt-oss-120b,1,1024,1024,1.000000,256,300,0.832815,852.802991,1705.605982,166.766673,167.245992,200.863273,61.357139,61.685835,61.942499,25.202216,41.000000,148969.867036,148970.000000,235.642188,266.550000,300,0
openai/gpt-oss-120b,1,1024,1024,2.000000,256,300,1.425724,1459.941778,2919.883557,177.451428,177.352085,271.695071,61.067635,61.335128,61.722559,27.375000,36.000000,148972.546296,148974.000000,248.188889,286.040000,300,0
openai/gpt-oss-120b,1,1024,1024,4.000000,256,300,2.189642,2242.193684,4484.387368,182.002027,184.862962,219.035285,61.829873,62.044125,62.604307,32.194444,48.000000,148974.000000,148974.000000,265.604028,329.360000,300,0
openai/gpt-oss-120b,1,1024,1024,8.000000,256,300,2.289874,2344.831104,4689.662207,178.266532,180.768627,217.191774,61.909025,62.318085,62.561164,33.123188,49.000000,148974.000000,148974.000000,268.981812,332.340000,300,0
openai/gpt-oss-120b,1,1024,1024,16.000000,256,300,2.289782,2344.736795,4689.473589,186.079500,186.703501,226.102250,63.549476,63.996661,64.093721,32.347826,49.000000,148974.000000,148974.000000,266.803913,331.060000,300,0
