timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/08 08:17:03.710, 0, 0, 0, 148974, 183359, 157.25
2026/03/08 08:17:03.739, 0, 0, 0, 148974, 183359, 157.25
2026/03/08 08:17:04.767, 0, 0, 0, 148974, 183359, 159.75
2026/03/08 08:17:05.798, 0, 0, 0, 148974, 183359, 157.22
2026/03/08 08:17:06.829, 0, 0, 0, 148974, 183359, 157.00
2026/03/08 08:17:07.860, 0, 0, 0, 148974, 183359, 156.99
2026/03/08 08:17:08.889, 0, 0, 0, 148974, 183359, 156.87
2026/03/08 08:17:09.921, 0, 0, 0, 148974, 183359, 156.68
2026/03/08 08:17:10.951, 0, 0, 0, 148974, 183359, 156.96
2026/03/08 08:17:11.983, 0, 0, 0, 148974, 183359, 156.97
2026/03/08 08:17:13.013, 0, 0, 0, 148974, 183359, 156.99
2026/03/08 08:17:14.046, 0, 13, 3, 148974, 183359, 161.52
2026/03/08 08:17:15.077, 0, 15, 4, 148974, 183359, 177.44
2026/03/08 08:17:16.109, 0, 14, 4, 148974, 183359, 182.62
2026/03/08 08:17:17.140, 0, 16, 5, 148974, 183359, 192.95
2026/03/08 08:17:18.171, 0, 18, 6, 148974, 183359, 198.85
2026/03/08 08:17:19.200, 0, 18, 6, 148974, 183359, 199.86
2026/03/08 08:17:20.232, 0, 21, 7, 148974, 183359, 209.65
2026/03/08 08:17:21.260, 0, 22, 8, 148974, 183359, 214.20
2026/03/08 08:17:22.290, 0, 22, 8, 148974, 183359, 210.75
2026/03/08 08:17:23.318, 0, 22, 9, 148974, 183359, 224.07
2026/03/08 08:17:24.347, 0, 23, 9, 148974, 183359, 222.74
2026/03/08 08:17:25.375, 0, 26, 11, 148974, 183359, 228.92
2026/03/08 08:17:26.404, 0, 26, 11, 148974, 183359, 231.00
2026/03/08 08:17:27.432, 0, 25, 11, 148974, 183359, 233.34
2026/03/08 08:17:28.460, 0, 28, 11, 148974, 183359, 238.27
2026/03/08 08:17:29.488, 0, 27, 12, 148974, 183359, 249.88
2026/03/08 08:17:30.519, 0, 28, 12, 148974, 183359, 247.76
2026/03/08 08:17:31.547, 0, 26, 11, 148974, 183359, 248.09
2026/03/08 08:17:32.577, 0, 29, 12, 148974, 183359, 250.25
2026/03/08 08:17:33.606, 0, 30, 13, 148974, 183359, 252.90
2026/03/08 08:17:34.636, 0, 32, 14, 148974, 183359, 263.85
2026/03/08 08:17:35.666, 0, 30, 13, 148974, 183359, 258.18
2026/03/08 08:17:36.697, 0, 32, 15, 148974, 183359, 259.54
2026/03/08 08:17:37.725, 0, 32, 14, 148974, 183359, 273.75
2026/03/08 08:17:38.756, 0, 32, 15, 148974, 183359, 269.84
2026/03/08 08:17:39.784, 0, 32, 15, 148974, 183359, 278.48
2026/03/08 08:17:40.814, 0, 34, 15, 148974, 183359, 273.69
2026/03/08 08:17:41.843, 0, 34, 15, 148974, 183359, 276.55
2026/03/08 08:17:42.873, 0, 35, 16, 148974, 183359, 277.10
2026/03/08 08:17:43.903, 0, 35, 15, 148974, 183359, 272.85
2026/03/08 08:17:44.933, 0, 34, 15, 148974, 183359, 278.91
2026/03/08 08:17:45.963, 0, 36, 16, 148974, 183359, 282.69
2026/03/08 08:17:46.994, 0, 36, 15, 148974, 183359, 276.59
2026/03/08 08:17:48.023, 0, 37, 17, 148974, 183359, 288.65
2026/03/08 08:17:49.057, 0, 37, 16, 148974, 183359, 281.39
2026/03/08 08:17:50.086, 0, 37, 16, 148974, 183359, 288.30
2026/03/08 08:17:51.118, 0, 38, 16, 148974, 183359, 288.04
2026/03/08 08:17:52.147, 0, 39, 17, 148974, 183359, 286.73
2026/03/08 08:17:53.177, 0, 40, 17, 148974, 183359, 286.53
2026/03/08 08:17:54.207, 0, 39, 17, 148974, 183359, 288.73
2026/03/08 08:17:55.235, 0, 39, 17, 148974, 183359, 293.45
2026/03/08 08:17:56.264, 0, 39, 17, 148974, 183359, 294.71
2026/03/08 08:17:57.295, 0, 40, 17, 148974, 183359, 301.35
2026/03/08 08:17:58.324, 0, 41, 17, 148974, 183359, 292.83
2026/03/08 08:17:59.358, 0, 42, 18, 148974, 183359, 301.59
2026/03/08 08:18:00.387, 0, 41, 17, 148974, 183359, 302.05
2026/03/08 08:18:01.417, 0, 42, 17, 148974, 183359, 306.35
2026/03/08 08:18:02.448, 0, 43, 18, 148974, 183359, 299.59
2026/03/08 08:18:03.479, 0, 43, 18, 148974, 183359, 306.66
2026/03/08 08:18:04.507, 0, 44, 19, 148974, 183359, 316.16
2026/03/08 08:18:05.538, 0, 43, 18, 148974, 183359, 308.40
2026/03/08 08:18:06.566, 0, 45, 19, 148974, 183359, 313.68
2026/03/08 08:18:07.597, 0, 44, 19, 148974, 183359, 312.66
2026/03/08 08:18:08.629, 0, 45, 18, 148974, 183359, 311.89
2026/03/08 08:18:09.660, 0, 44, 18, 148974, 183359, 317.84
2026/03/08 08:18:10.690, 0, 46, 19, 148974, 183359, 314.35
2026/03/08 08:18:11.721, 0, 47, 19, 148974, 183359, 322.03
2026/03/08 08:18:12.750, 0, 47, 19, 148974, 183359, 319.50
2026/03/08 08:18:13.781, 0, 49, 21, 148974, 183359, 326.54
