timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/08 04:32:13.859, 0, 0, 0, 148966, 183359, 156.12
2026/03/08 04:32:13.889, 0, 0, 0, 148966, 183359, 156.12
2026/03/08 04:32:14.919, 0, 0, 0, 148966, 183359, 156.12
2026/03/08 04:32:15.950, 0, 0, 0, 148966, 183359, 156.18
2026/03/08 04:32:16.980, 0, 0, 0, 148966, 183359, 156.10
2026/03/08 04:32:18.011, 0, 0, 0, 148966, 183359, 156.18
2026/03/08 04:32:19.041, 0, 0, 0, 148966, 183359, 156.29
2026/03/08 04:32:20.072, 0, 0, 0, 148966, 183359, 156.17
2026/03/08 04:32:21.102, 0, 0, 0, 148966, 183359, 156.20
2026/03/08 04:32:22.133, 0, 0, 0, 148966, 183359, 156.21
2026/03/08 04:32:23.159, 0, 0, 0, 148966, 183359, 156.27
2026/03/08 04:32:24.190, 0, 93, 19, 148970, 183359, 218.93
2026/03/08 04:32:25.221, 0, 18, 6, 148970, 183359, 272.78
2026/03/08 04:32:26.251, 0, 19, 7, 148970, 183359, 206.71
2026/03/08 04:32:27.281, 0, 20, 7, 148970, 183359, 200.92
2026/03/08 04:32:28.313, 0, 21, 8, 148970, 183359, 219.23
2026/03/08 04:32:29.343, 0, 21, 9, 148970, 183359, 209.30
2026/03/08 04:32:30.374, 0, 21, 9, 148970, 183359, 210.49
2026/03/08 04:32:31.404, 0, 22, 9, 148970, 183359, 226.56
2026/03/08 04:32:32.436, 0, 21, 9, 148970, 183359, 217.85
2026/03/08 04:32:33.465, 0, 21, 9, 148970, 183359, 224.95
2026/03/08 04:32:34.495, 0, 22, 9, 148970, 183359, 214.90
2026/03/08 04:32:35.523, 0, 21, 9, 148970, 183359, 218.21
2026/03/08 04:32:36.554, 0, 21, 9, 148970, 183359, 210.31
2026/03/08 04:32:37.581, 0, 21, 9, 148970, 183359, 222.98
2026/03/08 04:32:38.613, 0, 21, 9, 148970, 183359, 207.79
2026/03/08 04:32:39.642, 0, 22, 9, 148970, 183359, 210.63
2026/03/08 04:32:40.673, 0, 22, 9, 148970, 183359, 217.01
2026/03/08 04:32:41.702, 0, 22, 9, 148970, 183359, 224.83
2026/03/08 04:32:42.732, 0, 22, 9, 148970, 183359, 223.41
2026/03/08 04:32:43.763, 0, 22, 9, 148970, 183359, 228.88
2026/03/08 04:32:44.791, 0, 22, 9, 148970, 183359, 216.38
2026/03/08 04:32:45.820, 0, 22, 9, 148970, 183359, 218.39
2026/03/08 04:32:46.849, 0, 22, 9, 148970, 183359, 223.66
2026/03/08 04:32:47.878, 0, 22, 9, 148970, 183359, 228.56
2026/03/08 04:32:48.905, 0, 22, 9, 148970, 183359, 217.22
2026/03/08 04:32:49.935, 0, 21, 8, 148970, 183359, 218.66
2026/03/08 04:32:50.966, 0, 21, 8, 148970, 183359, 216.18
2026/03/08 04:32:51.997, 0, 22, 9, 148970, 183359, 216.31
2026/03/08 04:32:53.025, 0, 21, 8, 148970, 183359, 217.23
2026/03/08 04:32:54.055, 0, 21, 8, 148970, 183359, 219.32
2026/03/08 04:32:55.084, 0, 21, 8, 148970, 183359, 220.83
2026/03/08 04:32:56.115, 0, 22, 9, 148970, 183359, 210.82
2026/03/08 04:32:57.145, 0, 22, 9, 148970, 183359, 221.59
2026/03/08 04:32:58.175, 0, 21, 9, 148970, 183359, 213.26
2026/03/08 04:32:59.202, 0, 22, 9, 148970, 183359, 228.82
2026/03/08 04:33:00.232, 0, 21, 8, 148970, 183359, 213.71
2026/03/08 04:33:01.259, 0, 21, 8, 148970, 183359, 220.08
2026/03/08 04:33:02.287, 0, 21, 9, 148970, 183359, 216.48
2026/03/08 04:33:03.315, 0, 21, 8, 148970, 183359, 219.67
2026/03/08 04:33:04.345, 0, 21, 8, 148970, 183359, 208.69
2026/03/08 04:33:05.373, 0, 21, 8, 148970, 183359, 214.41
2026/03/08 04:33:06.404, 0, 21, 9, 148970, 183359, 221.49
2026/03/08 04:33:07.432, 0, 21, 8, 148970, 183359, 222.00
2026/03/08 04:33:08.463, 0, 21, 9, 148970, 183359, 215.12
2026/03/08 04:33:09.491, 0, 21, 9, 148970, 183359, 223.56
2026/03/08 04:33:10.519, 0, 21, 8, 148970, 183359, 218.72
2026/03/08 04:33:11.545, 0, 21, 8, 148970, 183359, 216.04
2026/03/08 04:33:12.575, 0, 21, 8, 148970, 183359, 211.17
2026/03/08 04:33:13.604, 0, 21, 9, 148970, 183359, 219.55
2026/03/08 04:33:14.634, 0, 21, 9, 148970, 183359, 225.03
2026/03/08 04:33:15.662, 0, 21, 8, 148970, 183359, 208.80
2026/03/08 04:33:16.691, 0, 21, 8, 148970, 183359, 219.56
2026/03/08 04:33:17.718, 0, 21, 8, 148970, 183359, 220.60
