timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/08 05:04:23.648, 0, 0, 0, 148970, 183359, 158.07
2026/03/08 05:04:23.676, 0, 0, 0, 148970, 183359, 158.07
2026/03/08 05:04:24.705, 0, 0, 0, 148970, 183359, 157.82
2026/03/08 05:04:25.734, 0, 0, 0, 148970, 183359, 157.66
2026/03/08 05:04:26.767, 0, 0, 0, 148970, 183359, 157.60
2026/03/08 05:04:27.799, 0, 0, 0, 148970, 183359, 157.57
2026/03/08 05:04:28.827, 0, 0, 0, 148970, 183359, 157.48
2026/03/08 05:04:29.863, 0, 0, 0, 148970, 183359, 159.83
2026/03/08 05:04:30.892, 0, 0, 0, 148970, 183359, 157.44
2026/03/08 05:04:31.923, 0, 0, 0, 148970, 183359, 157.30
2026/03/08 05:04:32.952, 0, 0, 0, 148970, 183359, 157.12
2026/03/08 05:04:33.980, 0, 0, 0, 148970, 183359, 157.73
2026/03/08 05:04:35.005, 0, 0, 0, 148970, 183359, 157.80
2026/03/08 05:04:36.035, 0, 0, 0, 148970, 183359, 157.65
2026/03/08 05:04:37.064, 0, 0, 0, 148970, 183359, 157.58
2026/03/08 05:04:38.094, 0, 0, 0, 148970, 183359, 157.60
2026/03/08 05:04:39.122, 0, 0, 0, 148970, 183359, 157.27
2026/03/08 05:04:40.151, 0, 0, 0, 148970, 183359, 157.49
2026/03/08 05:04:41.180, 0, 0, 0, 148970, 183359, 157.58
2026/03/08 05:04:42.209, 0, 0, 0, 148970, 183359, 157.43
2026/03/08 05:04:43.238, 0, 0, 0, 148970, 183359, 157.42
2026/03/08 05:04:44.267, 0, 0, 0, 148970, 183359, 157.46
2026/03/08 05:04:45.297, 0, 0, 0, 148970, 183359, 159.86
2026/03/08 05:04:46.325, 0, 0, 0, 148970, 183359, 157.00
2026/03/08 05:04:47.359, 0, 0, 0, 148970, 183359, 157.21
2026/03/08 05:04:48.386, 0, 0, 0, 148970, 183359, 157.24
2026/03/08 05:04:49.417, 0, 100, 20, 148970, 183359, 367.64
2026/03/08 05:04:50.450, 0, 100, 21, 148970, 183359, 604.39
2026/03/08 05:04:51.485, 0, 99, 22, 148972, 183359, 585.92
2026/03/08 05:04:52.516, 0, 35, 13, 148972, 183359, 498.31
2026/03/08 05:04:53.551, 0, 39, 15, 148972, 183359, 276.31
2026/03/08 05:04:54.579, 0, 35, 14, 148972, 183359, 283.13
2026/03/08 05:04:55.609, 0, 43, 17, 148972, 183359, 289.35
2026/03/08 05:04:56.639, 0, 41, 17, 148972, 183359, 294.43
2026/03/08 05:04:57.671, 0, 43, 17, 148972, 183359, 297.68
2026/03/08 05:04:58.699, 0, 39, 16, 148972, 183359, 302.24
2026/03/08 05:04:59.731, 0, 38, 15, 148972, 183359, 299.23
2026/03/08 05:05:00.762, 0, 41, 17, 148972, 183359, 290.92
2026/03/08 05:05:01.793, 0, 40, 16, 148972, 183359, 302.50
2026/03/08 05:05:02.822, 0, 39, 16, 148972, 183359, 298.42
2026/03/08 05:05:03.853, 0, 46, 19, 148972, 183359, 306.78
2026/03/08 05:05:04.883, 0, 45, 19, 148972, 183359, 304.97
2026/03/08 05:05:05.915, 0, 46, 19, 148972, 183359, 326.60
2026/03/08 05:05:06.943, 0, 47, 19, 148972, 183359, 325.49
2026/03/08 05:05:07.974, 0, 48, 20, 148972, 183359, 323.04
2026/03/08 05:05:09.005, 0, 49, 20, 148972, 183359, 325.17
2026/03/08 05:05:10.035, 0, 47, 19, 148972, 183359, 325.00
