model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,gpu_power_mean_w,gpu_power_p95_w,completed,failed
openai/gpt-oss-120b,1,1024,1024,32,320,0.511,523.575,1047.151,249.548,212.564,644.449,60.923,60.912,62.117,21.132,22.000,148969.929,148970.000,217.556,227.810,320,0
openai/gpt-oss-120b,1,1024,1024,64,640,1.048,1072.783,2145.567,310.212,339.216,563.163,59.384,59.809,62.343,27.028,34.000,148970.000,148970.000,244.509,263.190,640,0
openai/gpt-oss-120b,1,1024,1024,128,1280,1.964,2011.050,4022.100,384.864,316.784,1724.212,63.277,63.123,65.807,34.237,39.000,148970.000,148970.000,278.789,297.450,1280,0
openai/gpt-oss-120b,1,1024,1024,256,2560,3.709,3797.642,7595.284,530.594,409.657,3252.389,66.849,66.870,67.983,46.631,74.000,148971.937,148976.000,327.755,427.130,2560,0
openai/gpt-oss-120b,1,1024,1024,512,5120,6.838,7001.930,14003.861,815.288,455.855,6826.640,72.173,72.474,73.495,66.519,100.000,148976.000,148976.000,397.390,615.090,5120,0
