model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,gpu_power_mean_w,gpu_power_p95_w,completed,failed
openai/gpt-oss-120b,1,1024,1024,32,320,0.504,515.784,1031.568,248.964,211.586,639.874,61.848,61.556,63.660,20.795,22.000,148969.930,148970.000,216.467,226.040,320,0
openai/gpt-oss-120b,1,1024,1024,64,640,0.998,1021.966,2043.931,291.506,288.098,520.088,62.373,62.381,63.458,25.778,27.000,148971.377,148972.000,240.160,255.390,640,0
openai/gpt-oss-120b,1,1024,1024,128,1280,1.931,1977.758,3955.516,382.302,302.912,1733.221,64.350,64.140,67.430,33.734,35.000,148973.352,148974.000,277.410,292.560,1280,0
openai/gpt-oss-120b,1,1024,1024,256,2560,3.710,3798.897,7597.795,517.747,407.006,3215.304,66.846,67.154,68.286,46.588,70.000,148974.006,148976.000,328.086,414.650,2560,0
openai/gpt-oss-120b,1,1024,1024,512,5120,6.606,6764.416,13528.832,825.533,455.937,6846.624,74.711,74.518,78.941,64.452,100.000,148976.000,148976.000,389.446,614.920,5120,0
