timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/08 06:40:01.517, 0, 0, 0, 148970, 183359, 156.91
2026/03/08 06:40:01.545, 0, 0, 0, 148970, 183359, 156.91
2026/03/08 06:40:02.575, 0, 0, 0, 148970, 183359, 157.12
2026/03/08 06:40:03.604, 0, 0, 0, 148970, 183359, 157.19
2026/03/08 06:40:04.636, 0, 0, 0, 148970, 183359, 157.19
2026/03/08 06:40:05.666, 0, 0, 0, 148970, 183359, 157.25
2026/03/08 06:40:06.697, 0, 0, 0, 148970, 183359, 156.85
2026/03/08 06:40:07.727, 0, 0, 0, 148970, 183359, 157.17
2026/03/08 06:40:08.761, 0, 0, 0, 148970, 183359, 157.17
2026/03/08 06:40:09.792, 0, 0, 0, 148970, 183359, 159.67
2026/03/08 06:40:10.821, 0, 0, 0, 148970, 183359, 157.12
2026/03/08 06:40:11.848, 0, 0, 0, 148970, 183359, 157.12
2026/03/08 06:40:12.878, 0, 0, 0, 148970, 183359, 157.05
2026/03/08 06:40:13.908, 0, 23, 4, 148970, 183359, 170.23
2026/03/08 06:40:14.941, 0, 24, 9, 148970, 183359, 223.10
2026/03/08 06:40:15.974, 0, 25, 10, 148970, 183359, 239.54
2026/03/08 06:40:17.006, 0, 26, 11, 148970, 183359, 239.02
2026/03/08 06:40:18.037, 0, 26, 11, 148970, 183359, 239.94
2026/03/08 06:40:19.067, 0, 26, 12, 148970, 183359, 227.42
2026/03/08 06:40:20.094, 0, 26, 12, 148970, 183359, 244.23
2026/03/08 06:40:21.124, 0, 26, 12, 148970, 183359, 239.07
2026/03/08 06:40:22.153, 0, 26, 12, 148970, 183359, 244.75
2026/03/08 06:40:23.183, 0, 26, 12, 148970, 183359, 227.87
2026/03/08 06:40:24.210, 0, 26, 12, 148970, 183359, 244.99
2026/03/08 06:40:25.240, 0, 27, 12, 148970, 183359, 238.43
2026/03/08 06:40:26.268, 0, 27, 12, 148970, 183359, 249.69
2026/03/08 06:40:27.297, 0, 27, 12, 148970, 183359, 250.36
2026/03/08 06:40:28.326, 0, 27, 12, 148970, 183359, 245.59
2026/03/08 06:40:29.352, 0, 27, 12, 148970, 183359, 248.93
2026/03/08 06:40:30.382, 0, 26, 12, 148970, 183359, 241.29
2026/03/08 06:40:31.409, 0, 27, 12, 148970, 183359, 244.36
2026/03/08 06:40:32.439, 0, 26, 11, 148970, 183359, 244.88
2026/03/08 06:40:33.467, 0, 26, 11, 148970, 183359, 235.26
2026/03/08 06:40:34.496, 0, 26, 12, 148970, 183359, 247.80
2026/03/08 06:40:35.524, 0, 26, 11, 148970, 183359, 239.52
2026/03/08 06:40:36.556, 0, 26, 12, 148970, 183359, 243.84
2026/03/08 06:40:37.584, 0, 26, 12, 148970, 183359, 235.23
2026/03/08 06:40:38.614, 0, 26, 12, 148970, 183359, 246.78
2026/03/08 06:40:39.643, 0, 26, 12, 148970, 183359, 248.98
2026/03/08 06:40:40.675, 0, 25, 11, 148970, 183359, 241.88
2026/03/08 06:40:41.704, 0, 27, 12, 148970, 183359, 242.77
2026/03/08 06:40:42.735, 0, 27, 12, 148970, 183359, 249.01
2026/03/08 06:40:43.764, 0, 27, 12, 148970, 183359, 234.84
2026/03/08 06:40:44.796, 0, 26, 12, 148970, 183359, 248.77
2026/03/08 06:40:45.824, 0, 27, 12, 148970, 183359, 243.35
2026/03/08 06:40:46.860, 0, 27, 11, 148970, 183359, 242.73
2026/03/08 06:40:47.890, 0, 27, 12, 148970, 183359, 250.10
2026/03/08 06:40:48.919, 0, 27, 12, 148970, 183359, 249.31
2026/03/08 06:40:49.948, 0, 27, 12, 148970, 183359, 237.56
2026/03/08 06:40:50.978, 0, 27, 12, 148970, 183359, 239.13
2026/03/08 06:40:52.005, 0, 27, 12, 148970, 183359, 240.04
2026/03/08 06:40:53.034, 0, 26, 12, 148970, 183359, 237.96
2026/03/08 06:40:54.061, 0, 26, 12, 148970, 183359, 242.46
2026/03/08 06:40:55.092, 0, 26, 11, 148970, 183359, 236.43
2026/03/08 06:40:56.122, 0, 26, 12, 148970, 183359, 241.96
2026/03/08 06:40:57.153, 0, 27, 12, 148970, 183359, 242.06
2026/03/08 06:40:58.182, 0, 26, 11, 148970, 183359, 240.04
2026/03/08 06:40:59.213, 0, 26, 12, 148970, 183359, 239.28
2026/03/08 06:41:00.242, 0, 27, 12, 148970, 183359, 247.97
2026/03/08 06:41:01.272, 0, 27, 12, 148970, 183359, 242.90
2026/03/08 06:41:02.301, 0, 27, 12, 148970, 183359, 240.04
2026/03/08 06:41:03.330, 0, 26, 12, 148970, 183359, 248.27
2026/03/08 06:41:04.359, 0, 26, 11, 148970, 183359, 235.46
2026/03/08 06:41:05.389, 0, 26, 11, 148970, 183359, 241.61
2026/03/08 06:41:06.417, 0, 26, 11, 148970, 183359, 239.70
2026/03/08 06:41:07.446, 0, 26, 11, 148970, 183359, 236.70
2026/03/08 06:41:08.473, 0, 26, 11, 148970, 183359, 240.92
2026/03/08 06:41:09.502, 0, 27, 12, 148970, 183359, 237.52
2026/03/08 06:41:10.528, 0, 27, 12, 148970, 183359, 241.48
2026/03/08 06:41:11.558, 0, 27, 12, 148970, 183359, 240.82
2026/03/08 06:41:12.585, 0, 27, 12, 148970, 183359, 236.97
2026/03/08 06:41:13.615, 0, 26, 12, 148970, 183359, 236.58
2026/03/08 06:41:14.646, 0, 26, 11, 148970, 183359, 236.49
2026/03/08 06:41:15.673, 0, 27, 12, 148970, 183359, 233.00
2026/03/08 06:41:16.704, 0, 13, 3, 148970, 183359, 240.33
2026/03/08 06:41:17.732, 0, 23, 8, 148970, 183359, 230.50
2026/03/08 06:41:18.762, 0, 24, 10, 148970, 183359, 218.18
2026/03/08 06:41:19.790, 0, 25, 10, 148970, 183359, 240.69
2026/03/08 06:41:20.819, 0, 25, 10, 148970, 183359, 229.33
2026/03/08 06:41:21.848, 0, 26, 11, 148970, 183359, 232.39
2026/03/08 06:41:22.877, 0, 25, 11, 148970, 183359, 235.66
2026/03/08 06:41:23.906, 0, 26, 11, 148970, 183359, 231.84
2026/03/08 06:41:24.936, 0, 26, 11, 148970, 183359, 238.39
2026/03/08 06:41:25.966, 0, 26, 11, 148970, 183359, 253.00
2026/03/08 06:41:26.998, 0, 26, 11, 148970, 183359, 235.92
2026/03/08 06:41:28.027, 0, 26, 11, 148970, 183359, 236.03
2026/03/08 06:41:29.059, 0, 26, 12, 148970, 183359, 251.29
2026/03/08 06:41:30.088, 0, 26, 12, 148970, 183359, 233.84
2026/03/08 06:41:31.119, 0, 26, 12, 148970, 183359, 241.41
2026/03/08 06:41:32.146, 0, 26, 11, 148970, 183359, 241.80
2026/03/08 06:41:33.177, 0, 26, 11, 148970, 183359, 248.53
2026/03/08 06:41:34.205, 0, 26, 12, 148970, 183359, 245.23
