model,tp,isl,osl,request_rate,max_concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,gpu_power_mean_w,gpu_power_p95_w,completed,failed
openai/gpt-oss-120b,1,1024,1024,1.000000,256,300,0.833949,853.963647,1707.927294,161.104936,161.104693,193.324712,59.126808,58.944570,59.991656,26.052632,43.000000,148969.867036,148970.000000,236.655180,268.110000,300,0
openai/gpt-oss-120b,1,1024,1024,2.000000,256,300,1.405936,1439.678014,2879.356028,178.315034,179.336822,213.528474,61.307876,61.381374,62.533066,27.141553,35.000000,148972.703196,148974.000000,246.080639,280.900000,300,0
openai/gpt-oss-120b,1,1024,1024,4.000000,256,300,2.221467,2274.782385,4549.564771,176.743576,178.217551,221.087922,60.164880,60.345591,60.663575,33.183099,49.000000,148974.000000,148974.000000,270.598662,335.140000,300,0
openai/gpt-oss-120b,1,1024,1024,8.000000,256,300,2.240727,2294.504430,4589.008859,181.815256,183.686748,214.077090,63.217673,63.511614,63.656622,32.148936,48.000000,148974.000000,148974.000000,265.635461,327.420000,300,0
openai/gpt-oss-120b,1,1024,1024,16.000000,256,300,2.251473,2305.508739,4611.017479,191.937172,194.083764,232.185781,64.607610,65.056247,65.195621,32.007143,48.000000,148974.000000,148974.000000,264.430929,323.530000,300,0
