timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/08 07:29:33.646, 0, 0, 0, 148966, 183359, 156.79
2026/03/08 07:29:33.674, 0, 0, 0, 148966, 183359, 156.79
2026/03/08 07:29:34.703, 0, 0, 0, 148966, 183359, 156.73
2026/03/08 07:29:35.733, 0, 0, 0, 148966, 183359, 156.73
2026/03/08 07:29:36.764, 0, 0, 0, 148966, 183359, 156.67
2026/03/08 07:29:37.792, 0, 0, 0, 148966, 183359, 156.75
2026/03/08 07:29:38.820, 0, 0, 0, 148966, 183359, 156.63
2026/03/08 07:29:39.848, 0, 0, 0, 148966, 183359, 156.66
2026/03/08 07:29:40.879, 0, 0, 0, 148966, 183359, 156.71
2026/03/08 07:29:41.909, 0, 0, 0, 148966, 183359, 156.70
2026/03/08 07:29:42.939, 0, 0, 0, 148966, 183359, 156.73
2026/03/08 07:29:43.969, 0, 0, 0, 148966, 183359, 156.69
2026/03/08 07:29:45.003, 0, 13, 2, 148970, 183359, 180.79
2026/03/08 07:29:46.037, 0, 11, 2, 148970, 183359, 180.04
2026/03/08 07:29:47.068, 0, 12, 3, 148970, 183359, 182.34
2026/03/08 07:29:48.099, 0, 13, 3, 148970, 183359, 198.07
2026/03/08 07:29:49.130, 0, 13, 3, 148970, 183359, 186.66
2026/03/08 07:29:50.159, 0, 13, 4, 148970, 183359, 190.24
2026/03/08 07:29:51.188, 0, 14, 4, 148970, 183359, 184.23
2026/03/08 07:29:52.216, 0, 14, 4, 148970, 183359, 194.90
2026/03/08 07:29:53.245, 0, 14, 4, 148970, 183359, 186.56
2026/03/08 07:29:54.273, 0, 15, 4, 148970, 183359, 187.78
2026/03/08 07:29:55.302, 0, 45, 10, 148970, 183359, 205.61
2026/03/08 07:29:56.332, 0, 15, 5, 148970, 183359, 190.64
2026/03/08 07:29:57.362, 0, 16, 5, 148970, 183359, 202.04
2026/03/08 07:29:58.391, 0, 16, 5, 148970, 183359, 215.08
2026/03/08 07:29:59.420, 0, 17, 6, 148970, 183359, 201.16
2026/03/08 07:30:00.450, 0, 16, 5, 148970, 183359, 194.90
2026/03/08 07:30:01.481, 0, 17, 6, 148970, 183359, 230.94
2026/03/08 07:30:02.510, 0, 18, 7, 148970, 183359, 201.77
2026/03/08 07:30:03.540, 0, 18, 7, 148970, 183359, 210.11
2026/03/08 07:30:04.568, 0, 33, 9, 148970, 183359, 210.98
2026/03/08 07:30:05.599, 0, 19, 7, 148970, 183359, 202.42
2026/03/08 07:30:06.627, 0, 33, 9, 148970, 183359, 210.06
2026/03/08 07:30:07.662, 0, 19, 8, 148970, 183359, 205.61
2026/03/08 07:30:08.692, 0, 19, 7, 148970, 183359, 206.47
2026/03/08 07:30:09.723, 0, 19, 7, 148970, 183359, 208.65
2026/03/08 07:30:10.756, 0, 19, 7, 148970, 183359, 214.72
