model,tp,isl,osl,request_rate,max_concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,gpu_power_mean_w,gpu_power_p95_w,completed,failed
openai/gpt-oss-120b,1,1024,1024,1.000000,256,300,0.825684,845.500879,1691.001757,168.692594,168.212390,205.498427,62.329439,62.443824,62.757656,24.757576,41.000000,148969.867769,148970.000000,233.206749,265.570000,300,0
openai/gpt-oss-120b,1,1024,1024,2.000000,256,300,1.397577,1431.118418,2862.236837,186.529984,185.761538,223.672180,64.474369,64.614857,64.874120,26.509091,35.000000,148972.581818,148974.000000,244.639500,285.270000,300,0
openai/gpt-oss-120b,1,1024,1024,4.000000,256,300,2.089326,2139.470136,4278.940272,190.024952,193.078913,233.319858,64.948357,65.198781,65.507251,30.947020,46.000000,148974.000000,148974.000000,261.858742,322.450000,300,0
openai/gpt-oss-120b,1,1024,1024,8.000000,256,300,2.177069,2229.318250,4458.636500,190.371974,195.212687,226.770294,65.313109,65.722338,65.881406,31.489655,47.000000,148974.000000,148974.000000,263.514138,324.200000,300,0
openai/gpt-oss-120b,1,1024,1024,16.000000,256,300,2.223556,2276.920967,4553.841934,195.553148,199.056664,237.356154,65.774922,66.400393,66.605823,31.697183,47.000000,148974.000000,148974.000000,263.343028,321.520000,300,0
