operation,bandwidth_gbps,time_ms,bytes_per_iter,total_bytes
copy,5583.994515904046,15.383135795593262,2147483648.0,85899345920.0
scale,6221.863307534153,13.806048393249512,2147483648.0,85899345920.0
add,6191.130518870141,20.811872482299805,3221225472.0,128849018880.0
triad,6189.112936850176,20.81865692138672,3221225472.0,128849018880.0
